Fighter_iD,Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
60,Marcio Alexandre Junior, 17-4-0,"6' 0""",185,"75""",Southpaw,"May 05, 1989",1.61,45,2.89,42,0.35,20,66,0.7
61,John Albert, 6-5-0,"5' 8""",135,"68""",Orthodox,"Oct 13, 1986",3.05,49,2.82,35,0,0,50,6.1
62,David Abbott, 10-15-0,"6' 0""",265,--,Switch,--,1.35,30,3.55,38,1.07,33,66,0
63,Saad Awad, 20-9-0,"5' 11""",155,--,,"Jun 07, 1983",2.13,26,1.87,60,0.5,16,100,0.5
64,Tom Aaron, 5-3-0,--,155,--,,"Jul 13, 1978",0,0,0,0,0,0,0,0
65,Mariya Agapova, 9-2-0,"5' 6""",125,"68""",Southpaw,"Apr 07, 1997",3.7,50,4.15,47,1.23,66,33,0.6
66,Mike Aina, 14-6-1 (1 NC),"5' 9""",155,--,Orthodox,--,2.87,33,6.33,59,0,0,71,0
67,Adam Antolin, 12-3-0,"5' 5""",125,"63""",Orthodox,"Feb 28, 1982",5.73,52,5,69,0,0,100,0
68,Arnold Allen, 17-1-0,"5' 8""",145,"70""",Southpaw,"Jan 22, 1994",2.96,40,2.15,66,1.44,50,76,0.4
69,Chris Amarante, 2-0-0,--,185,--,,--,0,0,0,0,0,0,0,0
70,Ricardo Almeida, 13-5-0,"6' 0""",170,"74""",Orthodox,"Nov 29, 1976",2.02,49,1.2,61,3.74,38,31,1.2
71,Andy Anderson, 0-1-0,"5' 6""",240,--,,"Jul 16, 1974",0,0,0,0,0,0,0,0
72,Houston Alexander, 17-15-1 (2 NC),"6' 0""",205,"72""",Orthodox,"Mar 22, 1972",3.06,54,3.2,52,1.19,57,33,0
73,Teddy Ash, 14-5-0,"6' 1""",185,"73""",Switch,"Dec 27, 1989",7.27,61,6.8,28,0,0,100,0
74,Joey Armstrong, 5-2-0,--,--,--,,--,0,0,0,0,0,0,0,0
75,Hiroyuki Abe, 8-15-3 (1 NC),"5' 6""",145,--,Orthodox,--,1.71,36,3.11,63,0,0,33,0
76,Rafael Alves, 19-10-0,"5' 8""",155,"68""",Orthodox,"Oct 10, 1990",2.01,46,3.71,56,0,0,50,1.3
77,Ben Alloway, 18-8-0,"5' 11""",170,"76""",Orthodox,"Feb 19, 1981",1.28,49,1.9,59,0.62,50,26,0
78,Arman Ashimov, 11-3-1,"5' 6""",125,--,,"Jan 14, 1992",0,0,0,0,0,0,0,0
79,Kevin Aguilar, 17-5-0,"5' 7""",155,"73""",Orthodox,"Sep 07, 1988",3.96,40,4.81,52,0.16,16,78,0
80,Anthony Alves, 1-4-0,--,--,--,,--,0,0,0,0,0,0,0,0
81,David Avellan, 2-1-0,"5' 9""",185,--,Orthodox,--,3.33,25,10,57,0,0,0,0
82,Makwan Amirkhani, 16-6-0,"5' 10""",145,"72""",Southpaw,"Nov 08, 1988",1.4,43,2.52,52,3.61,40,57,1.1
83,Irene Aldana, 12-6-0,"5' 9""",135,"68""",Orthodox,"Mar 26, 1988",5.52,38,5.97,61,0.23,50,84,0.1
84,Lucas Almeida, 12-0-0,"5' 11""",155,--,,"Jan 13, 1991",0,0,0,0,0,0,0,0
85,Maiara Amanajas dos Santos, 7-3-0,"5' 5""",115,--,Southpaw,"Jul 11, 1987",5.53,35,24.47,33,0,0,100,0
86,Bruno Assis, 8-4-0,"6' 2""",185,--,Orthodox,"May 23, 1992",1.27,43,3.2,36,2,50,66,1
87,Victor Altamirano, 9-1-0,"5' 6""",125,--,,"Jan 23, 1991",0,0,0,0,0,0,0,0
88,Anthony Adams, 8-2-0,"6' 1""",185,"76""",Orthodox,"Jan 13, 1988",3.17,41,5.93,44,0,0,0,0
89,Scott Askham, 14-4-0,"6' 3""",185,"75""",Southpaw,"May 20, 1988",3.03,46,3.52,52,0.44,18,65,0.7
90,Sam Adkins, 7-20-2,"6' 3""",225,--,Orthodox,"Apr 26, 1965",0,0,0,0,0,0,0,0
91,Estefani Almeida, 7-3-0,"5' 4""",125,--,Orthodox,"Oct 17, 1988",3.13,37,6.07,42,0,0,0,0
92,Hector Aldana, 4-3-0,"5' 11""",170,"72""",Orthodox,"Aug 17, 1988",3.59,38,5.08,59,0.93,100,0,0
93,Lowell Anderson, 0-1-0,"5' 6""",160,--,Orthodox,--,0,0,0,0,0,0,0,0
94,Pat Audinwood, 11-2-1,"6' 0""",155,--,Orthodox,"Apr 16, 1986",1.17,12,4.31,41,0.8,50,0,0
95,Jaime Alvarez, 6-1-0,"5' 8""",125,"69""",Orthodox,"Mar 08, 1988",2.73,40,4.53,56,1,33,50,0
96,Gilles Arsene, 1-1-0,"5' 9""",190,--,Southpaw,--,0.06,10,2.45,32,0,0,0,0
97,Andrei Arlovski, 31-20-0 (2 NC),"6' 3""",240,"77""",Orthodox,"Feb 04, 1979",3.62,44,2.95,57,0.45,36,78,0.2
98,Askar Askar, 11-1-0,"5' 7""",145,"69""",Orthodox,"Aug 19, 1994",0,0,0,0,0,0,0,0
99,Raphael Assuncao, 27-8-0,"5' 5""",135,"66""",Orthodox,"Jul 19, 1982",3.26,40,2.33,68,1.48,38,80,0.3
100,Ottman Azaitar, 13-0-0,"5' 8""",155,"71""",Switch,"Feb 20, 1990",8.43,57,1.76,67,0,0,100,0
101,Tom Aspinall, 10-2-0,"6' 5""",256,"78""",Orthodox,"Apr 11, 1993",7.43,66,3.06,65,3.54,100,0,1.8
102,Azunna Anyanwu, 14-5-0,"6' 1""",251,--,Orthodox,"Aug 05, 1981",2.47,42,2.47,69,0.65,100,0,0
103,Cyril Asker, 9-4-0,"6' 0""",247,"74""",Orthodox,"Dec 24, 1985",3.35,39,5.82,35,4.41,62,100,0.9
104,Joel Alvarez, 18-2-0,"6' 3""",155,"77""",Orthodox,"Mar 02, 1994",2.84,37,3.31,53,0,0,0,1.6
105,Yoji Anjo, 0-5-1,"5' 11""",205,--,Orthodox,"Mar 28, 1967",0,0,3.13,25,0,0,0,0
106,Akbarh Arreola, 23-11-1,"5' 10""",155,"71""",Southpaw,"Jan 14, 1983",2.32,45,4.01,56,1.07,100,33,0.4
107,Omari Akhmedov, 21-5-1,"6' 0""",185,"73""",Orthodox,"Oct 12, 1987",2.95,35,2.59,57,2.63,49,65,0.3
108,Jessica Aguilar, 20-8-0,"5' 3""",115,"63""",Orthodox,"May 08, 1982",4.93,50,7.19,53,0.94,25,50,0.2
109,Julio Arce, 16-4-0,"5' 7""",145,"70""",Southpaw,"Oct 27, 1989",4.25,36,2.87,67,0.58,30,93,0.6
110,Chalid Arrab, 7-3-0,"5' 11""",205,--,Orthodox,"May 28, 1975",1.56,34,1.63,56,3.05,75,37,1
111,Pablo Alfonso, 9-7-0,"5' 8""",145,--,,"May 09, 1983",0,0,0,0,0,0,0,0
112,Israel Adesanya, 21-1-0,"6' 4""",185,"80""",Switch,"Jul 22, 1989",3.94,50,2.59,62,0,0,80,0.2
113,Ericka Almeida, 7-3-0,"5' 6""",115,--,Orthodox,"Mar 05, 1989",1.07,39,3.33,43,0.5,33,37,0
114,John Allan, 13-6-0 (1 NC),"6' 1""",205,"75""",Orthodox,"Feb 22, 1993",2.95,43,4.01,52,1.94,71,50,1.2
115,Hitomi Akano, 18-10-0,"5' 4""",135,--,Southpaw,"Jul 27, 1974",0.59,45,2.58,55,0,0,8,0.5
116,Alfonso Alcarez, 1-3-1,"5' 3""",145,--,,"Jun 10, 1970",0,0,0,0,0,0,0,0
117,Tristan Arenal, 7-4-0,--,155,--,,--,0,0,0,0,0,0,0,0
118,Olivier Aubin-Mercier, 11-5-0,"5' 9""",155,"70""",Southpaw,"Feb 23, 1989",2.48,51,2.97,55,2.36,33,70,0.5
119,Sarah Alpar, 9-5-0,"5' 4""",135,"63""",Southpaw,"Jun 01, 1991",2.11,54,4.76,32,2.69,28,50,0.7
120,Alex Andrade, 10-5-0,"5' 11""",200,--,Orthodox,"May 14, 1974",0.2,36,2.6,53,0,0,25,0.8
121,Gadzhimurad Antigulov, 20-8-0,"5' 11""",205,"70""",Orthodox,"Feb 09, 1987",2.08,55,4.21,40,5.08,36,0,1.4
122,Ricardo Abreu, 5-1-0,"5' 11""",185,--,Orthodox,"Apr 27, 1984",3.79,31,3.98,68,2.13,42,100,0.7
123,Sultan Aliev, 15-3-0,"5' 11""",170,"74""",Orthodox,"Sep 17, 1984",1.41,45,2.2,56,1.76,38,100,0
124,Fabio Aguiar, 17-1-0,"6' 0""",185,--,,"Feb 10, 1988",0,0,0,0,0,0,0,0
125,Hunter Azure, 9-2-0,"5' 8""",145,"69""",Orthodox,"Mar 02, 1992",3.92,53,2.08,58,1.97,34,67,1.3
126,Scott Adams, 8-1-0,"6' 0""",225,--,Southpaw,--,0,0,0,0,0,0,0,0
127,Jessin Ayari, 16-6-0,"6' 0""",155,"73""",Orthodox,"May 31, 1992",3.53,37,3.59,58,0,0,50,0.3
128,Juan Adams, 5-3-0,"6' 5""",265,"80""",Orthodox,"Jan 16, 1992",7.09,55,4.06,34,0.91,66,57,0
129,Magno Almeida, 10-3-0 (1 NC),"6' 0""",155,--,,"Jun 06, 1985",1.67,36,2.6,41,0,0,40,5
130,Jose Augusto, 6-2-0 (1 NC),"6' 3""",251,--,,"Mar 28, 1992",0,0,0,0,0,0,0,0
131,Mostapha Al-Turk, 6-6-0,"6' 2""",245,"77""",Orthodox,"Jul 14, 1973",1.36,19,3.61,53,0,0,0,0
132,Cesar Arzamendia, 8-3-0,"5' 11""",155,--,Orthodox,"Jan 31, 1991",5.37,45,5.2,56,7.32,75,0,2.4
133,Sam Alvey, 33-15-1 (1 NC),"6' 2""",205,"75""",Southpaw,"May 06, 1986",3.2,43,3.44,54,0.07,16,82,0.1
134,Corey Anderson, 14-5-0,"6' 3""",205,"79""",Orthodox,"Sep 22, 1989",4.43,46,2.22,59,4.89,50,83,0
135,Rico Altamirano, 4-3-0,"5' 10""",170,--,,--,0,0,0,0,0,0,0,0
136,Israel Albuquerque, 0-3-0,--,185,--,Orthodox,--,0.32,13,3.34,25,0,0,0,0
137,Rostem Akman, 6-2-0,"5' 10""",170,"72""",Switch,"Dec 19, 1991",1.8,25,3.97,57,1,40,87,0
138,Jermaine Andre, 14-4-0,"5' 7""",200,--,Orthodox,--,0,0,0,0,0,0,0,0
139,Thiago Alves, 23-15-0,"5' 9""",170,"70""",Orthodox,"Oct 03, 1983",3.73,41,3.42,62,0.71,60,63,0.3
140,Kenji Arai, 15-15-5,"5' 10""",145,--,Southpaw,"Oct 05, 1979",8.79,27,10.29,39,0,0,0,0
141,Khusein Askhabov, 23-0-0,"5' 8""",135,--,,"Feb 13, 1995",0,0,0,0,0,0,0,0
142,Olaf Alfonso, 8-12-0,"6' 2""",170,--,Orthodox,"Aug 06, 1974",1.65,38,4.77,53,0.37,7,22,0.7
143,Bertrand Amoussou, 1-1-0,"5' 8""",190,--,Orthodox,--,6.75,39,2.01,83,0,0,0,0
144,Sean Alvarez, 4-3-0,"6' 0""",235,--,Orthodox,"Jul 14, 1971",0.89,37,3.25,47,0,0,0,0
145,Jose Aldo, 29-7-0,"5' 7""",135,"70""",Orthodox,"Sep 09, 1986",3.45,45,3.52,61,0.57,56,91,0.1
146,Gilbert Aldana, 6-2-0,"6' 1""",250,--,Orthodox,"Aug 25, 1977",2.91,54,6.26,26,2.57,40,33,0
147,John Alessio, 35-17-0 (2 NC),"5' 10""",155,"72""",Orthodox,"Jul 05, 1979",2.1,39,2.91,54,1.85,38,70,1.2
148,Ali AlQaisi, 8-5-0,"5' 6""",135,"68""",Orthodox,"Sep 23, 1990",2.43,42,1.97,56,3.5,29,60,1
149,Rich Attonito, 10-5-0,"5' 10""",170,"72""",Orthodox,"Jun 16, 1977",2.28,47,2.13,59,0.74,37,75,0
150,Bill Algeo, 14-6-0,"6' 0""",145,"73""",Switch,"Jun 09, 1989",6.37,53,4.87,40,0.5,28,55,0
151,Javy Ayala, 10-5-0,"6' 1""",265,--,,"Aug 20, 1988",0.83,25,5,33,0,0,0,0
152,Edwin Aguilar, 26-19-0 (1 NC),"5' 10""",185,--,,--,0,0,0,0,0,0,0,0
153,Collin Anglin, 8-1-0,"5' 9""",145,"71""",Orthodox,"Feb 20, 1993",5.87,55,3.47,58,3,75,100,0
154,Juan Alcain, 1-2-0,--,--,--,,--,0,0,0,0,0,0,0,0
155,Ricardo Arona, 14-5-0,"5' 11""",205,--,Orthodox,"Jul 17, 1978",1.66,48,1.15,57,2.41,48,58,1.2
156,Jailton Almeida, 0-0-0,"5' 2""",135,--,,--,0,0,0,0,0,0,0,0
157,Veta Arteaga, 3-1-0,"5' 7""",125,--,,--,3.2,36,1.92,65,0,0,40,0
158,Brendan Allen, 16-4-0,"6' 2""",185,"75""",Orthodox,"Dec 28, 1995",3.35,58,4.19,39,1.73,50,50,2.1
159,Art Arciniega, 15-7-0,"5' 8""",145,--,,"Oct 15, 1981",1.53,46,2.73,51,0,0,50,1
160,Megan Anderson, 11-5-0,"6' 0""",145,"72""",Orthodox,"Feb 11, 1990",1.76,46,3.35,37,0.52,25,53,0.5
161,George Allen, 13-19-2,"6' 2""",205,--,Open Stance,"Jan 13, 1967",0.8,38,3.1,43,0,0,50,0
162,Zarrukh Adashev, 3-3-0,"5' 5""",125,"65""",Southpaw,"Jul 29, 1992",1.93,23,3.35,60,0,0,0,0
163,Eryk Anders, 14-5-0 (1 NC),"6' 1""",185,"75""",Southpaw,"Apr 21, 1987",3.2,47,3.96,51,1.47,32,76,0.1
164,Reese Andy, 7-3-0,"6' 0""",205,--,Orthodox,"Mar 31, 1973",2.87,50,3.5,58,0.67,20,40,0
165,Viviane Araujo, 10-3-0,"5' 4""",125,"68""",Orthodox,"Nov 21, 1986",5.14,47,5.48,59,2.1,60,94,0.3
166,Danny Abbadi, 4-6-0,"5' 11""",155,--,Orthodox,"Jul 03, 1983",3.29,38,4.41,57,0,0,77,0
167,Angelo Antonio, 1-4-0,--,205,--,Orthodox,--,1.09,50,7.64,50,0,0,0,0
168,Antonio Arroyo, 9-4-0,"6' 3""",185,"73""",Orthodox,"Jul 01, 1989",3.08,70,1.72,44,1.4,41,32,0.3
169,Amir Albazi, 14-1-0,"5' 5""",125,"68""",Orthodox,"Oct 27, 1993",4.06,40,3.15,58,2.28,75,66,0.8
170,Hashem Arkhagha, 6-0-0,"6' 2""",185,--,,--,0,0,0,0,0,0,0,0
171,Viscardi Andrade, 19-6-0,"5' 11""",170,"75""",Orthodox,"Mar 08, 1984",3.26,42,2.77,63,1.93,50,66,0.3
172,Shinsho Anzai, 10-3-0,"5' 7""",170,"70""",Orthodox,"Dec 01, 1985",3.23,58,3.75,45,1.83,16,75,0
173,Matt Andersen, 14-8-1,"6' 2""",230,--,Southpaw,"May 29, 1971",0,0,0,0,0,0,0,0
174,Matt Arroyo, 3-3-0,"5' 10""",170,"72""",Orthodox,"Sep 01, 1982",1.62,47,2.01,58,2.12,36,100,5.3
175,Marcus Aurelio, 22-10-0,"5' 10""",155,"74""",Orthodox,"Aug 18, 1973",1.42,33,2.27,59,1.69,27,27,1.3
176,Royce Alger, 3-2-0,"5' 10""",199,--,Orthodox,--,0,0,0,0,0,0,0,0
177,Papy Abedi, 10-4-0,"5' 11""",185,--,Southpaw,"Jun 30, 1978",2.8,55,3.15,48,3.47,57,50,1.3
178,Chris Avila, 5-4-0,"5' 10""",145,--,Orthodox,"Jan 16, 1993",2.37,30,4.17,48,0,0,46,0
179,Levi Alford, 1-7-0,--,--,--,,--,0,0,0,0,0,0,0,0
180,Karla Benitez, 14-11-1 (1 NC),"5' 3""",113,--,,--,0,0,2.4,57,0,0,100,0
181,Joshua Burkman, 28-16-0 (1 NC),"5' 10""",170,"72""",Orthodox,"Apr 10, 1980",2.69,43,3.13,51,2.53,36,72,0.3
182,Raoni Barcelos, 16-1-0,"5' 7""",135,"67""",Orthodox,"May 01, 1987",5.59,52,4.17,67,2.23,56,85,0.7
183,David Barrios, 4-8-0,"5' 6""",145,--,,--,0,0,0,0,0,0,0,0
184,Enrique Barzola, 17-5-2,"5' 7""",145,"70""",Orthodox,"Apr 28, 1989",3.91,41,2.97,68,4.2,45,66,0.3
185,Ray Borg, 13-5-0,"5' 4""",135,"63""",Orthodox,"Aug 04, 1993",1.52,52,1.93,48,3.89,50,46,1
186,Terrell Brown, 3-1-0,--,185,--,,"Apr 13, 1983",0,0,0,0,0,0,0,0
187,Stephen Banaszak, 5-5-0,"6' 0""",145,--,,"Dec 07, 1990",4.2,47,1.15,66,0,0,100,1.9
188,Frederick Brown, 3-2-0,"6' 0""",235,--,,--,0,0,0,0,0,0,0,0
189,Kyle Bochniak, 8-5-0,"5' 7""",145,"70""",Orthodox,"Feb 05, 1987",2.63,31,5.11,58,1.14,15,62,0
190,Ryan Benoit, 10-7-0,"5' 5""",125,"68""",Orthodox,"Aug 25, 1989",2.95,41,3.4,60,0.33,25,70,0.5
191,Joseph Benavidez, 28-8-0,"5' 4""",125,"65""",Southpaw,"Jul 31, 1984",3.52,34,2.67,61,1.41,30,62,0.6
192,Luc Bondole, 5-2-2,"6' 2""",205,--,,--,3.35,51,2.04,62,0,0,0,1.8
193,Marc-Andre Barriault, 12-4-0 (1 NC),"6' 1""",185,"74""",Orthodox,"Feb 18, 1990",5.36,48,4.79,55,0.43,25,72,0
194,Francimar Barroso, 19-7-0 (1 NC),"6' 1""",205,"75""",Orthodox,"Feb 28, 1980",2.77,52,3.07,59,2.22,24,83,0
195,Yohan Banks, 2-1-0,--,--,--,,--,0,0,0,0,0,0,0,0
196,Simon Biyong, 7-1-0,--,205,--,,"Apr 05, 1991",0,0,0,0,0,0,0,0
197,Allen Berube, 4-3-0,"5' 8""",155,--,Orthodox,"Aug 25, 1974",0.92,80,0.92,33,6.87,100,0,3.4
198,Edson Barboza, 22-9-0,"5' 11""",145,"75""",Orthodox,"Jan 21, 1986",4.16,44,4.15,59,0.42,44,78,0.1
199,Damien Brown, 17-12-0,"5' 10""",155,"68""",Orthodox,"Dec 25, 1984",3.66,38,4.86,50,0.68,27,53,0.7
200,Renan Barao, 34-9-0 (1 NC),"5' 6""",145,"70""",Orthodox,"Jan 31, 1987",3.78,36,3.9,57,1.49,41,91,0.5
201,DeAnna Bennett, 8-3-1,"5' 4""",125,"68""",Orthodox,"Nov 18, 1984",3.13,58,3.27,58,0,0,0,1
202,Lance Benoist, 7-2-0,"5' 11""",170,"72""",Southpaw,"Aug 26, 1988",3.68,51,2.7,56,1.5,33,61,0
203,Arjan Bhullar, 9-1-0,"6' 1""",245,"75""",Orthodox,"May 13, 1986",2.33,56,3.25,59,1.73,75,100,0
204,Ricardo Barros, 2-2-0,"6' 1""",205,--,,"Mar 22, 1976",0,0,8.22,31,0,0,100,0
205,Lyle Beerbohm, 24-3-0,"5' 10""",155,--,Southpaw,"Feb 05, 1979",1.98,55,1.61,54,2.1,23,64,0.3
206,Talita Bernardo, 6-4-0,"5' 4""",135,"68""",Orthodox,"Mar 04, 1987",3.12,42,4.04,55,1.62,22,28,0.5
207,KB Bhullar, 8-2-0,"6' 4""",185,"78""",Switch,"Oct 12, 1991",4.31,49,5.39,45,0,0,0,0
208,Nick Bustamante, 5-3-0,"5' 9""",170,--,,--,0,0,0,0,0,0,0,0
209,Josh Barnett, 35-8-0,"6' 3""",250,"78""",Orthodox,"Nov 10, 1977",3.2,50,2.11,57,1.26,55,55,1.4
210,David Branch, 22-6-0,"6' 1""",185,"78""",Orthodox,"Sep 26, 1981",1.66,39,1.91,56,2.55,32,43,0
